source,text,gemma3:12b_question,gemma3:12b_answer,category,content_category,gemma3:12b_answer_concise
https://www.pittsburghpa.gov/City-Government/Mayor/Office-of-Immigrant-and-Refugee-Affairs,"  DistrictsClerk's OfficeNeighborhoods & WardsLegislative InformationCouncil Budget OfficeCity Council ContactsBoards, Authorities, CommissionsSub-menu  Member RostersAgendas & MinutesList of Boards, Authorities, CommissionsLegal ServicesSub-menu  Department of LawOffice of Equal ProtectionCommission on Human RelationsEthics Hearing BoardOffice of Municipal InvestigationsCity OrdinancesFile a Claim with LawRight to KnowJobsSub-menu  CareersHuman Resources and Civil ServiceFinances & BudgetSub-menu  TaxesNew Business RegistrationReal EstateFee ScheduleCampaign FinancesManagement & BudgetContacts & InformationSub-menu  Frequently Requested NumbersCity Press Release ArchiveCity Channel Pittsburgh  Safety Sub-menu  PoliceSub-menu  Police ZonesPolice Officer RecruitmentFile a Police ReportSubmit a TipSubmit a Silent ComplaintCompliment an OfficerPolice Data PortalBranchesAbout PoliceFireSub-menu  Fire Station Location MapGirls Firefighter CampFire Permit InformationAnnual ReportsBureau of Fire ContactsAbout Bureau of FireFirefighter RecruitmentFire Safety ProgramsAnimal Care & ControlSub-menu  For Pet OwnersDog LicensesSpay/Neuter ProgramStray AnimalsRodent Baiting ProgramBeekeeping and Farm Animal PermitsLiving with WildlifeAnimal Control FAQsEmergency Medical ServicesSub-menu  Ambulance DivisionSpecial Event OperationsTraining DivisionAnnual ReportsEMS ContactsPrivacy PracticesBecome a ParamedicFreedom House EMT TrainingOffice of Community Health and SafetySub-menu  Health and Safety ResourcesMeet the StaffCommunity Office HoursJoin Our Team!Community EngagementAnnouncements & Press ReleasesNewsletterContact FormAlertsSub-menu  Public Safety BlotterPublic Safety Press ReleasesPublic Safety Press Release ArchiveCOVID-19 UpdatesPublic SafetySub-menu",What resources are available under the 'Office of Community Health and Safety'?,"The 'Office of Community Health and Safety' provides health and safety resources, allows visitors to meet the staff, offers community office hours, provides opportunities to join the team, facilitates community engagement, and provides announcements and press releases.",Specific information questions,General Info and History of Pittsburgh/CMU,"Health and safety resources, staff meetings, community office hours, team opportunities, community engagement, and announcements."
https://www.pittsburghpa.gov/Safety/Alerts/Public-Safety-Press-Release-Archive,"  18/2/2018 08:59:27   FATAL CRASH AT WASHINGTON BOULEVARD AND FRANKSTOWN AVENUE  FOR IMMEDIATE RELEASE  PITTSBURGH, PA – On Sunday, February 18, 2018 at approximately 3:30 a.m., Zone 5 officers were dispatched to a fatal two vehicle accident at the intersection of Frankstown Road and Washington Boulevard. One male victim was found pinned under a vehicle. He died at the scene. According to initial reports, the car operated by the victim was leaving a convenience store parking lot and attempting to make a turn at the intersection when it collided with another vehicle on Washington Boulevard. The car, operated by the victim, spun out of control. The victim was ejected. At this time, there are no reports of injuries to the occupant of the second vehicle. An investigation is underway.  ###  ","What occurred at the intersection of Frankstown Road and Washington Boulevard on February 18, 2018?","On February 18, 2018, a fatal two-vehicle accident occurred at the intersection of Frankstown Road and Washington Boulevard, resulting in one male victim being found pinned under a vehicle and dying at the scene.",Specific information questions,General Info and History of Pittsburgh/CMU,"A fatal two-vehicle accident occurred, resulting in one death."
https://www.visitpittsburgh.com/blog/white-water-rafting/,"                  Author Molly A. Guest Blogger Molly Allwein loves traveling the world, her three rescue dogs, and indulging in brunch & happy hour. Her favorite things about living in Pittsburgh are the $10 opera tickets, the robust community and philanthropic organizations, and the amazing culinary scene.         Related Content:                  Save  White Water Adventurers Inc.PO Box 31, 6 Negley St. Ohiopyle, Pennsylvania 15470DetailsOpen in Google Maps                      Map                                                            White Water Adventurers Inc.                                White Water Adventurers Inc. PO Box 31, 6 Negley St. Ohiopyle, Pennsylvania 15470  (724) 329-8850     Details  Website                           Save  Laurel Highlands River ToursPO Box 107 4 Sherman St. Ohiopyle, Pennsylvania 15470DetailsOpen in Google Maps                      Map                                                            Laurel Highlands River Tours                                Laurel Highlands River Tours PO Box 107 4 Sherman St. Ohiopyle, Pennsylvania 15470  (800) 472-3846     Details  Website                           Save  GO Laurel Highlands113 East Main St. Ligonier, Pennsylvania 15658DetailsOpen in Google Maps                      Map                                                            GO Laurel Highlands                                GO Laurel Highlands 113 East Main St. Ligonier, Pennsylvania 15658  (724) 238-5661",What are some of Molly Allwein's favorite things about living in Pittsburgh?,"Molly Allwein enjoys Pittsburgh's $10 opera tickets, the robust community and philanthropic organizations, and the amazing culinary scene.",Specific information questions,Music and Culture,"Affordable opera, a strong community, and a great culinary scene."
https://pittsburghrestaurantweek.com/restaurants/summer-2021-restaurants/the-porch-at-siena/,"
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
The Porch at Siena
 ADDRESS120 Siena Dr, 
Upper St Clair, PA 15241 (Map)
 PHONE(412) 833-5385
 WEBSITE
	dineattheporch.com
 SUSTAINABLE DINING
 OUTDOOR SEATING
 EXTENDED: Yes
Restaurant Week Special:
$20.21 Special Entrée Dish
Pasta Bolognese
House Made Pasta, Feta, Garden Basil & Garlic Toast
Available for dine-in only. Not available for online, takeout or to-go orders.
",What is the price of The Porch at Siena's Restaurant Week special entrée dish?,The Porch at Siena offers a Restaurant Week special entrée dish priced at $20.21.,Specific information questions,Music and Culture,$20.21
https://pittsburghrestaurantweek.com/restaurants/summer-2018-restaurants/carmellas-plates-and-pints/,"
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
Carmella’s Plates and Pints
 ADDRESS1908 East Carson Street 
Pittsburgh, PA 15203 (Map)
 PHONE(412) 918-1215
 NEIGHBORHOODSouth Side
 WEBSITE
	carmellasplatesandpints.com
 RESERVE ON OPENTABLE
 OUTDOOR SEATING
Restaurant Week Special:
$29.18 Dinner
FIRST PLATE
SUMMER SALAD
mixed greens / tomato / corn / cucumber / green bean / fresh mozzarella / white balsamic vinaigrette
BEANS & GREENS
cannellini beans / tuscan kale / pecorino / EVOO
SECOND PLATE
CHICKEN BREAST
parmesan polenta / peperonata / garlicky spinach
WILD BOAR RAGU
boar shoulder / soffritto / tomato / kale / pecorino / house-made pappardelle
SUMMER VEGETABLE STEW
couscous / beans / zucchini / corn / tomato-fennel broth / basil pesto
THIRD PLATE
PANNA COTTA
greek yogurt / macerated stone fruit / amoretti
CHOCOLATE CAKE
salted hazelnut caramel / whipped cream
Available for dine-in only. Not available for online, takeout or to-go orders.
",What is the price of the Restaurant Week special at Carmella’s Plates and Pints?,Carmella’s Plates and Pints offers a Restaurant Week special for $29.18.,Specific information questions,Music and Culture,$29.18
https://www.visitpittsburgh.com/hotels-resorts/,"                       3. Which Pittsburgh hotels are dog-friendly?                   There are plenty of dog-friendly hotels offering accommodating services and amenities. Look through our guide on dog-friendly hotels in Pittsburgh, finding the best stay for your furry companion.            Explore More                                                                6 Pittsburgh Hotel Restaurants You Need to Try                                                             Learn More                                                                                              Keep on Rockin’ at The Oaklander Recording Studio                                                             Learn More                                                                                              Pittsburgh’s Rooftops                                                             Learn More                                                                                              The Oaklander: The Hotel for Travelers of All Types                                                             Learn More                                                                                              Paradise in Pittsburgh                                                             Learn More                                                                                              Pittsburgh in Two Hours                                                             Learn More                                                                                              Top 10 RV Parks Near Pittsburgh                                                             Learn More                                                                                              Dog-Friendly Hotels in Pittsburgh",What type of accommodations can be found in Pittsburgh for travelers with dogs?,"According to the text, there are plenty of dog-friendly hotels in Pittsburgh offering accommodating services and amenities.",Specific information questions,Music and Culture,Pittsburgh offers many dog-friendly hotels.
https://pittsburghrestaurantweek.com/restaurants/summer-2015-restaurants/mccormick-schmicks-seafood-restaurant-2/,"
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
McCormick & Schmick’s Seafood
 ADDRESS2667 Sidney St.
Pittsburgh, PA 15203 (Map)
 PHONE412-432-3260
 NEIGHBORHOODSouth Side
 WEBSITE
	http://www.mccormickandschmicks.com/Locations/pittsburgh-pennsylvania/pittsburgh-pennsylvania/SidneySt.aspx
 MENU STARTS EARLY
 RESERVE ON OPENTABLE
Restaurant Week Special
$25.15 Multi-Course Dinner
select one per course
STARTER
Walnut Mixed Greens
Candied Walnuts, Blue Cheese, White Balsamic Vinaigrette
Blue Crab and Corn Chowder  
Roasted Corn Salsa, Chili Oil
Fried Calamari Frito Misto
Pomodoro Sauce, Lemon Tabasco Aioli
ENTREE
Stuffed Shrimp
Seafood Stuffing, Roasted Red Pepper Mashed Potatoes
Chicken Oscar
Crab Meat, Mashed Potatoes, Asparagus, Hollandaise Sauce
Ahi Tuna Tempura
Sushi Rice, Asian Cucumber Salad, Miso Vinaigrette
DESSERT
Molten Chocolate Cake
Vanilla Ice Cream, Heath Bar, Chocolate Sauce
Crème Brulee
Baked Vanilla Custard, Fresh Berries
$15 Multi-Course Lunch
select one per course
STARTER
New England clam chowder
Cream, Bacon, Potatoes
Walnut Mixed Greens Salad
Candied Walnuts, Blue Cheese Crumbles, White Balsamic Vinaigrette
ENTREE
Northwest Salmon Sauté
Mushrooms, Asparagus, Hazelnuts in Lemon Cream Sauce
Blackened Tilapia
Mashed Potatoes, Roasted Corn Salsa
Fish n Chips & Shrimp
Chesapeake Fries, Poblano Tartar Sauce
Romano Chicken Chopped Salad
Crispy Bacon, Blue Cheese, White Balsamic Vinaigrette
Available for dine-in only. Not available for online, takeout or to-go orders.
",What is the price of the Restaurant Week Multi-Course Dinner at McCormick & Schmick’s Seafood?,The Restaurant Week Multi-Course Dinner at McCormick & Schmick’s Seafood is priced at $25.15 and requires selecting one item per course.,Specific information questions,Music and Culture,"$25.15, one item per course."
        English Select this as your preferred languageChinese (Simplified) - 中文 Select this as your preferred languageSpanish - español Select this as your preferred languageArabic - العربية Select this as your preferred languageFrench - français Select this as your preferred languageNepali -  नेपाली Select this as your preferred languagePortuguese - português Select this as your preferred languagePashto - پښتو Select this as your preferred languageRussian - Русский язык Select this as your preferred languageUzbek - أۇزبېك ﺗﻴﻠی Select this as your preferred languageSwahili Select this as your preferred languageHebrew - עִברִית Select this as your preferred languageHindi - बहाना करना Select this as your preferred languageUkrainian - українська Select this as your preferred languageKorean - 한국인 Select this as your preferred language,What language would you like to translate to?,What is the user being asked to specify?,The user is being asked to specify the language they would like to translate to.,Specific information questions,Music and Culture,The target translation language.
https://pittsburghrestaurantweek.com/restaurants/winter-2016-restaurants/redbeards-on-sixth-sports-bar-grill/,"
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
Redbeard’s on Sixth Sports Bar & Grill
 ADDRESS144 6th Street
Pittsburgh, PA 15222 (Map)
 PHONE(412) 261-2324
 NEIGHBORHOODDowntown
 WEBSITE
	redbeardspgh.com/downtown/
 NEW DISH, NEW YEAR
Restaurant Week Special:
$30.16 Multi-Course Dinner
A Cold Night in Italy – Redbeard’s on Sixth embraces it’s owner’s Sicilian roots by featuring a 3 course Tuscan inspired Italian meal.
1st Course: 
Tuscan Italian Sausage Soup
topped with Smoked Gruyere and Swiss melted Golden brown. Spiraled with Marble Rye Crispy Sticks, and topped with Fresh Parsley. 
2nd Course: 
Tuscan Chicken Marsala
Our spin on an Italian Classic, topped with our house Marsala Sauce and Aged Pork with a Balsamic Glaze Reduction, Garnished with fresh Parmesan and Parsley, and served with seared potatoes and OUR HOUSE MADE MULLED WINE!
3rd Course: 
The Cannoli
The one and only dessert that everyone tasting Italy must have … With a Surprise Redbeard’s Twist.
Available for dine-in only. Not available for online, takeout or to-go orders.
",What is the Restaurant Week special offered at Redbeard’s on Sixth?,"Redbeard’s on Sixth offers a $30.16, three-course, Tuscan-inspired Italian meal for Restaurant Week, available for dine-in only.",Specific information questions,Music and Culture,"A $30.16, three-course, Tuscan-inspired Italian meal for dine-in only."
https://www.visitpittsburgh.com/blog/pittsburgh-restaurant-week/,"                 View this post on Instagram            A post shared by Hofbräuhaus Pittsburgh (@hofbrauhaus_pittsburgh)                 Christian James Personally, I love when restaurants go all out for Pittsburgh Restaurant Week. This Downtown restaurant is offering up nine new dishes as part of their special menu including Filipino adobo chicken bites first course, soy-hoison sticky pork ribs main course and a Portuguese egg tart dusted with cinnamon (one of Portugal's most famous dishes) for dessert.Christian James is known for serving a variety of global cuisine and infusing storytelling into each dish they present. With an ever-evolving menu, I'm positive you'll be back well after Restaurant Week ends to try something new!",What new dishes are being offered at Hofbräuhaus Pittsburgh during Restaurant Week?,"Hofbräuhaus Pittsburgh is offering nine new dishes, including Filipino adobo chicken bites, soy-hoison sticky pork ribs, and a Portuguese egg tart dusted with cinnamon as part of their special Restaurant Week menu.",Specific information questions,Music and Culture,"Hofbräuhaus Pittsburgh's Restaurant Week menu features nine new dishes, like Filipino adobo chicken bites, soy-hoison ribs, and Portuguese egg tarts."
https://pittsburghrestaurantweek.com/restaurants/winter-2024-restaurants/coast-and-main-seafood-and-chophouse/,"
>>>>>>> b908513ca90e848d0de1d449a84290738d294a24
Coast and Main Seafood and Chophouse
 ADDRESS705 Mall Circle Dr, 
Monroeville, PA 15146 (Map)
 PHONE(412) 380-6022
 NEIGHBORHOODEast/Monroeville
 WEBSITE
	coastandmain.com
 RESERVE ON OPENTABLE
 NEW DISH, NEW YEAR
Restaurant Week Special:
$45.24 DINNER
Starter Selections
Caesar Salad
Seasonal Soup
Entrees Selections
Herb Crusted Salmon with pancetta, peas, & roasted garlic cream served with butter whipped Yukon Gold mashed potatoes. 
Grilled Swordfish stuffed with sun dried tomatoes, crab, & feta and finished with roasted red pepper cream sauce and fingerling potatoes. 
Crab Stuffed Shrimp with Lemon Beurre Blanc and butter whipped Yukon Gold mashed potatoes. 
Chicken Cavatappi Pasta with Roasted Tomato Vodka Sauce
Center Cut Sirloin with cajun mushroom cream sauce
Dessert Selections
Flourless Chocolate Truffle Cake
Pecan Ball with chocolate ganache 
Vanilla Bean Crème Brulée
Available for dine-in only. Not available for online, takeout or to-go orders.
",What is the price of the Restaurant Week dinner special at Coast and Main Seafood and Chophouse?,The Restaurant Week dinner special at Coast and Main Seafood and Chophouse is priced at $45.24.,Specific information questions,Music and Culture,$45.24
