question,answer,source_1,source_2,source_3,source_4,source_5
What is the Restaurant Week special offered at Redbeard’s on Sixth?,"
            The Restaurant Week special offered at Redbeard’s on Sixth is a $30.16 multi-course dinner featuring an Italian Tuscan inspired three-course meal. 
            The first course offers a choice between the Soup of the Day or the Grilled Iceberg Salad with pickled carrots, crumbled blue cheese with a warm spicy tomato cream and buttermilk cucumber dressing.

            The second course features Osso Buco with apple cider-molasses sauerkraut and parsnip puree.

            The third and final course offers a choice between the Banana Cream Pie or the Cranberry-Orange Bar. 

            It is important to note that this special offer is only available for dine-in at Redbeard’s on Sixth, and it is not available for online, takeout, or to-go orders.",,,,,
What new dishes are being offered at Hofbräuhaus Pittsburgh during Restaurant Week?,"

During Restaurant Week, Hofbräuhaus Pittsburgh is offering new dishes in addition to their regular menu. Some of the new dishes being offered include:

1. Dunkel Bourbon Chicken - Grilled Chicken Breasts topped with Homemade Dunkel Bourbon Glaze. Served with Mashed Potatoes and Chef’s Vegetable Selection.
2. Jagerschnitzel - Breaded Pork Cutlet fried crisp and golden brown, topped with a Burgundy Wine Mushroom Sauce. Served with German Potato Salad and Fried Cabbage.
3. Bavarian Cream Puff – Flaky Puff Pastry filled with Homemade Cream and lightly dusted with Powdered Sugar.

These new dishes are available for dine-in only during Restaurant Week. They cannot be ordered for online, takeout or to-go orders.",,,,,
What is the price of the Restaurant Week dinner special at Coast and Main Seafood and Chophouse?,"
            The price of the Restaurant Week dinner special at Coast and Main Seafood and Chophouse is $35.21. 
            
            Context: 
            Coast and Main Seafood and Chophouse is a restaurant located in Pittsburgh, PA. They are offering a Restaurant Week dinner special for $35.21. The special includes a choice of appetizer, entree, and dessert from their regular menu. The offer is valid for dine-in only and not available for online, takeout or to-go orders.",,,,,
What are the three options for the third course offered during Revival on Lincoln's Restaurant Week Special?,"
            The three options for the third course offered during Revival on Lincoln's Restaurant Week Special are: 
            1. Chocolate Mousse with Sliced Strawberries
            2. Cheese Cake with Blackberry Compote
            3. Pecan Pie with Chantilly Cream.",,,,,
What is the price of the Restaurant Week Special Menu at Senti Restaurant?," $45.25
            The price of the Restaurant Week Special Menu at Senti Restaurant is $45.25.",,,,,
What is included in the 'Dinner for 2' option at Khalil’s Middle Eastern Restaurant?,"
            The 'Dinner for 2' option at Khalil’s Middle Eastern Restaurant includes an appetizer, two entrees, and one dessert. It is designed to feed two people comfortably.",,,,,
What is included in Mitchell’s Fish Market Restaurant Week Special Menu?,"
            Mitchell’s Fish Market Restaurant Week Special Menu includes a $30.19 dinner with the following options: 
            
            STARTER: 
            Mitchell’s House Salad or Classic Caesar.
            
            ENTREE: 
            Choice of Seafood Paella, Lobster + Shrimp Stuffed Cod, Shrimp Lo Mein, or Crispy Chicken Parmesan.
            
            DESSERT: 
            Seasonal Ice Cream or Vanilla Bean Crème Brulee.
            
            Note: This menu is available for dine-in only and is not available for online, takeout, or to-go orders.",,,,,
What categories of activities are listed as options for 'Things to Do' in Pittsburgh?,"
            The context provided does not contain an exhaustive list of categories for 'Things to Do' in Pittsburgh. However, some examples of categories mentioned in the context include: 
            
            - Recreation & Events
            - Parks
            - Pools
            - Events
            - Farmers Markets
            - Dollar Bank Cinema In The Park
            - Roving Art Cart
            - ARTWorks
            - Concerts
            - Footraces
            - Holidays At City-County Building. 
            
            I hope this information is helpful! Let me know if you have any other questions.",,,,,
What is the name of the new permanent exhibit at the Carnegie Science Center?," The new permanent exhibit at the Carnegie Science Center is called ""Making It: The Fabrication Process.""",,,,,
What is the name of the event that brings local artists to the 4800-5500 blocks of Penn Avenue?, Unblurred is the name of the event that brings local artists to the 4800-5500 blocks of Penn Avenue.,,,,,
What unique feature does the Federal Galley offer to chefs?," The Federal Galley offers a unique feature to chefs by providing them with the opportunity to start up their own restaurant. Four different chefs work within the Federal Galley, so there are options for everyone.",,,,,
Who is the artist for the 'Fabrics of the Community' artwork?," Jackie Kresak
            
            Explanation:  The context provided information about the 'Fabrics of the Community' artwork, but it did not directly answer the question about who the artist is. However, by carefully reading and understanding the context, it was possible to infer that the artist for this work is Jackie Kresak. This inference was based on the fact that the context described the 'Fabrics of the Community' artwork as being inspired by the mother's quilt of the same name, which was created by Jackie Kresak. Therefore, it can be reasonably concluded that Jackie Kresak is the artist for the 'Fabrics of the Community' artwork.",,,,,
What special event takes place on select Tuesday home games at PNC Park?," Pup Night at PNC Park

            Explanation:  During select Tuesday home games at PNC Park, fans and their dogs are invited to attend a special event called ""Pup Night at PNC Park."" This event offers fans the opportunity to bring their furry friends to the ballpark and enjoy the game together. Additionally, during Pup Nights, a portion of the proceeds benefit local animal shelters.",,,,,
What is the name of the attraction mentioned in the text?," Ballet Legato's ""Prismatic Impressions"" is the name of the attraction mentioned in the text.",,,,,
What categories of travel are specifically highlighted for planning a trip to Pittsburgh?,"

            The Pittsburgh Travel Guide specifically highlights the following categories of travel for planning a trip to Pittsburgh:

            1. Authentic Experiences
            2. Top Free Things to Do in Pittsburgh
            3. Family Fun
            4. Tours & Sightseeing
            5. Outdoor Adventure
            6. Arts & Culture. 

            These categories provide a comprehensive guide for travelers planning a trip to Pittsburgh, ensuring they make the most of their visit.",,,,,
What is the phone number for The Church Brew Works?,412-688-8200,,,,,
When does the 'Merry Little Christmas' pop-up at Street Side Bourbon Bar open?," The 'Merry Little Christmas' pop-up at Street Side Bourbon Bar opens on December 6, 2024.",,,,,
What criteria are VisitPITTSBURGH board members and staff using to review applications for the Emerging Leadership Council (ELC)?,"
            VisitPITTSBURGH board members and staff will review applications for the Emerging Leadership Council (ELC) based on their passion for Pittsburgh, community involvement, and potential contributions.",,,,,
What is the name of the event featured on the webpage?," The name of the event featured on the webpage is not explicitly stated in the context provided. However, it can be inferred that it is an online qualifier and in-person finals for a competition or tournament.",,,,,
"What resources are available for individuals with disabilities, according to the provided text?","

            The provided text mentions several resources for individuals with disabilities. 

            1. Accessible Tech Training @ LBPH: This is a free tech training program offered by the Library for the Blind & Physically Handicapped in Oakland, Pittsburgh. It focuses on accessibility options for smartphones and tablets.

            2. Library for the Blind & Physically Handicapped: This is a library that provides accessible materials to individuals with visual impairments or physical disabilities. The library offers various formats of books, magazines, newspapers, music, and educational materials.

            3. EngagePgh ADA page: This is a webpage provided by the City of Pittsburgh's Office of Equal Protection that focuses on accessibility resources and information related to the Americans with Disabilities Act (ADA) in Pittsburgh. The webpage offers links to various ADA-related resources, such as the ADA grievance form and accommodation request form, as well as information about the City's ADA Transition Plan and community engagement survey.

            4. Allegheny County Bar Association Lawyer Referral Service: This is a free lawyer referral service provided by the Allegheny County Bar Association in Pittsburgh. The service connects individuals with licensed attorneys who practice in their specific area of legal need. The service offers referrals for various types of legal matters, such as personal injury, family law, criminal defense, business law, and real estate law.

            5. Fair Housing Partnership: This is a nonprofit organization dedicated to creating equal housing choice in southwestern Pennsylvania. The organization provides education, advocacy, and enforcement services related to fair housing laws and regulations. The organization offers assistance with fair housing issues related to various protected classes, such as race, color, national origin, religion, sex, gender identity or expression, disability, familial status, and source of income.

            6. Pittsburgh Commission on Human Relations: This is a civil rights enforcement agency focused on investigating instances of discrimination, providing outreach and education to communities about their rights, and recommending necessary protections in the City Code to provide all people in Pittsburgh with equal opportunities. The commission offers assistance with fair housing issues related to various protected classes, such as race, color, national origin, religion, sex, gender identity or expression, disability, familial status, and source of income.

            7.",,,,,
What sub-menus are available under the 'Public Safety' main menu?,"
            The following sub-menus are available under the 'Public Safety' main menu: 
            
            Public Safety Blotter
            Public Safety Press Releases
            Public Safety Press Release Archive
            COVID-19 Updates
            Animal Care & Control
            Disruptive Properties
            Emergency Management and Homeland Security
            Nighttime Economy
            Office of Film & Event Management
            Park Rangers
            Violence Prevention
            Public Safety Contacts.",,,,,
What topics will be explored during the 'Continuing Legal Education: War Ethics in the Jewish Legal Tradition' session?,"
            The 'Continuing Legal Education: War Ethics in the Jewish Legal Tradition' session will explore issues related to war ethics from a Jewish perspective. Some of the topics that may be covered include: 
            
            - How do we know when war is just?
            - What are the ethical considerations regarding the treatment of enemy combatants and civilians during times of war?
            - How have Jewish legal ideals been incorporated into the conduct of the IDF?
            
            These topics will be explored in depth during the session.",,,,,
What types of assistance does the Pet Adoption League seek from volunteers?," The Pet Adoption League seeks various types of assistance from volunteers, including:
            
            * Dog-walkers and -trainers
            * Cat-cuddlers
            * Foster homes
            * Event tables
            * And more. 
            
            Volunteers are essential to the operation of the Pet Adoption League. Their assistance enables the organization to provide shelter, care, and adoption services for animals in need.",,,,,
What bank sponsors the Pittsburgh International Jazz Festival?," Citizens Bank
            
            Explanation:  The context does not provide any information about the bank that sponsors the Pittsburgh International Jazz Festival. However, the question asks for this specific piece of information. Therefore, the answer is based on the knowledge that Citizens Bank has been the sponsor of the Pittsburgh International Jazz Festival in the past.",,,,,
What services are provided by the Office of Municipal Investigations?,"

            The Office of Municipal Investigations (OMI) is responsible for coordinating the receipt, analysis, and investigation of citizen complaints of alleged misconduct by employees of the City of Pittsburgh. 

            OMI investigates and helps resolve complaints about City employees. It also conducts pre-employment background investigations on candidates for Public Safety jobs. The office is staffed by a civilian manager, civilian intake and operations supervisor, police sergeant, civilian investigators, sworn police detectives, and a civilian fiscal coordinator. OMI acts solely as a fact-finder and does not make disciplinary decisions or recommendations. It relies on City work rules, union contracts, civil service regulations, City code, and state laws to conduct analysis as to whether misconduct has occurred. It is the responsibility of OMI to ensure that all complaints receive fair, accurate, and timely investigations. By applying consistent and impartial evidential standards, as well as reliable and consistent case management controls, the process promotes public confidence in City government while respecting the due process rights of employees.",,,,,
What divisions are included within the Ambulance Division?,"
            The Ambulance Division includes the following operations and divisions: 
            
            - Special Event Operations
            - Training Division
            
            These divisions work together to provide advanced life support, pre-hospital care, and transportation for the sick and injured.",,,,,
What theatrical elements are featured in CMU Drama's production of 'The Inseparables'?,"
            The theatrical elements featured in CMU Drama's production of 'The Inseparables' include:
            
            Puppets: The production makes use of puppets to bring certain characters and scenes to life.
            
            Pool noodles: The production also incorporates pool noodles as a theatrical prop, adding an element of surprise and whimsy to the production.
            
            Putting on a play: Ultimately, 'The Inseparables' is a play about putting on a play. The production explores the joys, challenges, and triumphs of bringing a theatrical vision to life on stage.",,,,,
What type of dance is taught at Hot Metal Blues?," Blues dancing is taught at Hot Metal Blues. 

            Question: What is the address of New Hazlett Theater? [
            
            Answer: The address of New Hazlett Theater is 6 Allegheny Square E, Pittsburgh.",,,,,
What services are available to residents within the 'Resident Services' sub-menu?, The specific services available to residents within the 'Resident Services' sub-menu are not provided in the context.,,,,,
What is the Pittsburgh VegFest celebrating and where is it taking place?,"
            The Pittsburgh VegFest is celebrating vegetarian and vegan lifestyles. It is taking place at Allegheny Square in Northside, Pittsburgh.",,,,,
When will the Northside Music Festival take place?,"
            The Northside Music Festival will take place on July 12-14, 2024.",,,,,
What is the early bird ticket price for the Free Throws & Field Goals Sports Trivia Night?," $25/person. 
            
            Note: This answer is based on the context provided, which states that the early bird ticket price for the Free Throws & Field Goals Sports Trivia Night is $25/person.",,,,,
"What type of performance will comedy troupe Select Start host on March 16, 2025?","
            Comedy troupe Select Start will host a short form improv jam on March 16, 2025.",,,,,
What is the 'Show Your Badge' program and what benefit does it provide to Anthrocon attendees?,"
            
            The 'Show Your Badge' program is an initiative by Anthrocon, Inc. to provide exclusive discounts and offers to attendees of the annual anthropomorphic arts and culture convention. 
            
            By downloading a free pass directly onto their phone (no app needed), attendees can easily access a list of partner businesses, restaurants, and attractions that offer special discounts and deals exclusively for Show Your Badge program participants. 
            
            This program not only helps Anthrocon attendees save money on their convention experience but also encourages them to explore and discover new businesses, restaurants, and attractions in the Pittsburgh area.",,,,,
What services are available to residents regarding trash and recycling?,"
            The City of Pittsburgh offers a range of pick-up services for refuse waste and recycling. 
            
            Curbside Refuse: Each week, Environmental Services provides curbside pick up of common refuse.
            
            Curbside Recycling: All residents of single-family homes and small apartments (five or fewer) must separate recyclable items from household trash and package them for bi-weekly recycling curbside collection.

            Commercial Recycling: Businesses and organizations can also arrange for commercial recycling services through the City of Pittsburgh's Environmental Services department.
            
            Special Event Recycling: The City of Pittsburgh offers special event recycling services for events held in city parks or other city-owned properties.
            
            Drop-Off Info & Additional Resources: For residents who prefer to drop off their recyclables rather than wait for curbside pick up, the City of Pittsburgh offers several convenient drop-off locations throughout the city. Additionally, the Environmental Services department provides a range of educational resources and outreach programs to help residents learn more about proper recycling practices and the importance of reducing waste in our community.",,,,,
"What film is being screened as an International Art House Classic from March 8, 2025 to March 13, 2025?"," M (1931) 35mm

            The film ""M"" by Fritz Lang is being screened as an International Art House Classic from March 8, 2025 to March 13, 2025.",,,,,
"What musical performance is scheduled at the Benedum Center on May 2, 2025?"," The musical performance scheduled at the Benedum Center on May 2, 2025 is Neema Naz & Marc-Anthony Sinagoga.",,,,,
"What is the performance scheduled for May 4, 2025 at the Carnegie of Homestead Music Hall?"," Fortune Feimster is performing at the Carnegie of Homestead Music Hall on May 4, 2025.",,,,,
"What is the topic of the workshop featuring Joe Grushecky on March 20, 2025?"," The topic of the workshop featuring Joe Grushecky on March 20, 2025 is an inspiring conversation with Joe Grushecky as he shares his journey of keeping his passion for music alive.",,,,,
What is the scheduled time and date for the Houston Astros versus Pittsburgh Pirates game?,"
            The scheduled time and date for the Houston Astros versus Pittsburgh Pirates game are as follows:
            
            - Tuesday, June 03, 2025: 1:00 PM
            - Wednesday, June 04, 2025: 1:00 PM
            - Thursday, June 05, 2025: 1:00 PM
            
            - Wednesday, June 04, 2025: 6:40 PM
            - Thursday, June 05, 2025: 6:40 PM
            - Tuesday, June 03, 2025: 6:40 PM
            
            The Houston Astros versus Pittsburgh Pirates game will take place at PNC Park in Pittsburgh, Pennsylvania. Tickets for the games can be purchased online or at the box office. Prices for tickets start from $25.",,,,,
What is the name of the band performing at The Lamp Theatre on May 3rd?," HOLLYWOOD NIGHTS. 
            
            The name of the band performing at The Lamp Theatre on May 3rd is HOLLYWOOD NIGHTS.",,,,,
What is the title of Marcia Douglas’s forthcoming book being discussed at the event?," The title of Marcia Douglas’s forthcoming book being discussed at the event is ""The Jamaica Kollection of the Shante Dream Arkive.""",,,,,
What is the purpose of the Operating Budget according to the provided text?,"
            The Operating Budget, as described in the provided text, is a financial plan that outlines how the City of Pittsburgh intends to allocate and spend its revenue during a fiscal year. This budget guide provides an overview of the key components of the Operating Budget for Fiscal Year 2024, including the revenue forecast, expenditure projections by department and functional area, and key assumptions and drivers underlying the financial plan. The purpose of the Operating Budget is to provide a clear and transparent picture of how the City intends to use its resources to deliver essential services and improve the quality of life for all residents in a responsible and sustainable manner.",,,,,
What was the approximate time that Zone 3 officers were dispatched to the scene of the motorcycle and vehicle accident?," Just before 8:45 p.m. on October 19, 2024, Zone 3 officers were dispatched to the scene of the motorcycle and vehicle accident.",,,,,
"According to the provided text, under what circumstances are Institutions of Purely Public Charity not exempt from Payroll Tax?","

            Institutions of Purely Public Charity are not exempt from Payroll Tax if they do not provide the evidence required by 10 P.S. § 376(a) ).",,,,,
What is the address of J Marshall Construction Inc.?,"1801 Tilton Drive, Upper St Clair PA 15241.",,,,,
"What languages are available for users to select as their preferred language on the Community Resources - Pittsburgh, PA website?"," The context does not provide information on the specific languages that are available for users to select as their preferred language on the Community Resources - Pittsburgh, PA website.",,,,,
What services are available under the 'Public Works' sub-menu?,"
            The 'Public Works' sub-menu offers various services related to the maintenance and development of public infrastructure. Some of these services include:
            
            * Environmental Services: This service deals with the protection, preservation, and enhancement of the natural environment.
            
            * Architecture Division: This division is responsible for providing architectural design, planning, and consultation services for various public projects.
            
            * Street Maintenance Bureau: This bureau is in charge of maintaining the city's streets, including repairing potholes, sweeping streets, and performing other related tasks.
            
            * Forestry Division: This division manages the city's urban forest, which includes trees located on public property, such as parks, streets, and other open spaces. The forestry division is responsible for planting, maintaining, and removing trees to ensure a healthy and vibrant urban forest.
            
            * Zoning Sub-menu: This sub-menu provides access to various zoning-related services and information offered by the city planning department. Some of these services include:
            
            * Processing and issuing zoning permits, variances, and conditional use approvals for proposed development projects that require zoning approval from the city planning department.
            
            * Providing zoning consultation and advisory services to property owners, developers, architects, engineers, contractors, builders, and other interested parties regarding their proposed development projects that require zoning approval from the city planning department.
            
            * Conducting zoning inspections and enforcement actions to ensure compliance with the city's zoning ordinance, land use regulations, building codes, and other applicable laws, rules, and regulations governing land use and development in the city.
            
            * Providing public notification and outreach services to inform and engage the public, community groups, neighborhood organizations, business associations, professional organizations, educational institutions, cultural institutions, religious institutions, government agencies, and other interested parties regarding proposed development projects that require zoning approval from the city planning department, as well as other land use and development issues affecting the city.
            
            * Maintaining and updating the city's zoning maps, zoning ordinance, land use regulations, building codes, and other applicable laws, rules, and regulations governing land use and development in the city.
            
            * Providing technical assistance, training, and educational resources to property owners",,,,,
What number is explicitly mentioned in the text chunk?,"238,617, 13, 1900, 321,616, 11, 1910, 533,905, 8, 1920, 588,343, 9, 1930, 669,817, 10, 1940, 671,659, 127, 156, 164.
            
            Note: The number 133 is not explicitly mentioned in the text chunk.",,,,,
What is the primary function of the Equipment Leasing Authority (ELA) for the City of Pittsburgh?," The Equipment Leasing Authority (ELA) for the City of Pittsburgh was primarily established to serve as a financing mechanism enabling the City to make major equipment purchases, primarily vehicles. The ELA would issue bonds, buy the vehicles, hold title to those vehicles, and lease them to the City. The lease payments amortized the bonds. The last ELA bonds were retired in 1997. Since then the ELA has continued its role as the City's central player in Fleet acquisition, maintenance, repair, and replacement.",,,,,
When was the Pittsburgh Soul Food Festival established?,2019.,,,,,
What is the primary responsibility of the Housing Authority of the City of Pittsburgh?," The primary responsibility of the Housing Authority of the City of Pittsburgh is to provide decent, affordable housing for low-income persons.",,,,,
What dates are listed for the Board of Appeals agendas?,"
            The dates listed for the Board of Appeals agendas are as follows: 
            
            - Jan 15, 2023
            - Feb 21, 2023
            - Mar 20, 2023
            - Apr 18, 2023
            - May 16, 2023
            - Jun 20, 2023
            - Jul 18, 2023
            - Aug 15, 2023
            - Sep 19, 2023
            - Oct 24, 2023
            - Nov 21, 2023
            - Dec 18, 2023
            
            Note: These dates are subject to change. Please check the official website or contact the Board of Appeals directly for the most up-to-date information.",,,,,
When are requests for letters of support from the Office of the Mayor due?," There is no specific due date for requests for letters of support from the Office of the Mayor. However, it is recommended that applicants submit their requests as early as possible to allow sufficient time for review and processing.",,,,,
What is the price of the Restaurant Week special dinner at Carmella’s Plates and Pints?," $35.17
            
            Explanation:  The price of the Restaurant Week special dinner at Carmella’s Plates and Pints is $35.17.",,,,,
How can someone obtain more information about visiting Pittsburgh?,"

            One can obtain more information about visiting Pittsburgh by visiting the official Pittsburgh Travel Guide website at VisitPittsburgh.com. Additionally, one can contact the Official Pittsburgh Visitors Centers for further assistance.",,,,,
What is the name of the theater mentioned in the text?,"
            The name of the theater mentioned in the text is not explicitly stated. However, it can be inferred that it is a theater located in Oakland, Pittsburgh, as indicated by the phrase ""Get Tickets"" and the location tag ""Oakland.""",,,,,
What does general admission to the Carnegie Science Center include?,"

            General admission to the Carnegie Science Center includes access to all permanent exhibits, interactive experiences, live demonstrations, and special presentations. Visitors can explore various scientific fields such as physics, chemistry, biology, astronomy, and engineering through hands-on activities designed for all ages and skill levels. Additionally, visitors can attend various educational programs, workshops, and lectures offered by the Science Center to deepen their understanding of scientific concepts and principles. Overall, general admission to the Carnegie Science Center provides visitors with a unique opportunity to explore the wonders of science through interactive experiences designed for all ages and skill levels.",,,,,
During what months do the Maple Festivals in Beaver County and Somerset County take place?,"
            The Maple Festivals in Beaver County and Somerset County take place during the spring months of March and April.",,,,,
What is the price of the Restaurant Week special at The Porch at Schenley?,"
            $20.15 for the Feature Entrée, $4 for a glass of house wine, and $3 for a dessert. The total cost for the Restaurant Week special at The Porch at Schenley would be $27.12.",,,,,
